"Entire Store","Entire Store"
"Search:","Search:"
"Go","Go"
"Search store here...","Search store here..."
"Auto Select Current Category","Auto Select Current Category"
"Show First Children","Show First Children"
"Children Indentation","Children Indentation"
"%s extension not registered.","%s extension not registered."
"%s save error. Please try again later.","%s save error. Please try again later."
" or registration information for"," or registration information for"
" is not valid. Please check them or %s"," is not valid. Please check them or %s"
"contact us.","contact us."
"%s is required.","%s is required."
"%s is not valid.","%s is not valid."
"Activation","Activation"
"Serial Number","Serial Number"
"Registration Code","Registration Code"
"Full Name","Full Name"
"Email Address","Email Address"
"Configuration","Configuration"
"Enabled","Enabled"
"Yes","Yes"
"No","No"
"Catalog","Catalog"
"Catalog Search by Category","Catalog Search by Category"
"CODNITIVE Catalog Section","CODNITIVE Catalog Section"
"Disable Ajax Suggest","Disable Ajax Suggest"
"Maximal Depth","Maximal Depth"
"Set to 0 or leave empty for unlimit depth.","Set to 0 or leave empty for unlimit depth."
"Enabled in Advanced Search","Enabled in Advanced Search"
"Label for Advanced Search","Label for Advanced Search"
"Top Mini Search","Top Mini Search"
"Advanced Search","Advanced Search"
